Attack,Rank,Q@0.7P,Q@0.4P,Avg P,Avg Q,attack_key
Dist-Erase,1,0.9963877645573735,0.9963877645573735,1.0,0.9687259385850242,distortion_single_erasing
Dist-Contrast,2,0.9181559870999602,0.9181559870999602,0.9999999999221604,0.7828020156967843,distortion_single_contrast
Dist-Rotation,3,0.43788456748324683,0.43788456748324683,0.9999999910351984,0.33812574360612546,distortion_single_rotation
Dist-Bright,4,0.9751543211226167,0.9751543211226167,0.9612884162119018,0.8549301595123652,distortion_single_brightness
Dist-RCrop,5,0.47750221442258145,0.47750221442258145,0.9600056291781615,0.3931800599277592,distortion_single_resizedcrop
Dist-Com-Photo,6,0.8840214551308911,0.8840214551308911,0.8967005432209314,0.6845662498411521,distortion_combo_photometric
Dist-Com-Geo,7,0.4278480245220607,0.4278480245220607,0.7183282311299948,0.3468683066096776,distortion_combo_geometric
Dist-Blur,8,0.9362149626019388,0.9362149626019388,0.5554723110355488,0.8387522566931314,distortion_single_blurring
Dist-JPEG,9,0.9380023695673929,0.9380023695673929,0.407080413152806,0.8875783354692951,distortion_single_jpeg
AdvEmb-CLIP,10,0.8386934765916939,0.8386934765916939,0.28045460447587217,0.6718114424130563,adv_emb_clip_untg_alphaRatio_0.05_step_200
AdvEmb-KLVAE16,11,0.8386934765916939,0.8386934765916939,0.28045460447587217,0.6718114424130563,adv_emb_klf16_vae_untg
AdvEmb-RN18,12,0.8386934765916939,0.8386934765916939,0.28045460447587217,0.6718114424130563,adv_emb_resnet18_untg
AdvEmb-KLVAE8,13,0.8386934765916939,0.8386934765916939,0.28045460447587217,0.6718114424130563,adv_emb_same_vae_untg
AdvEmb-SdxlVAE,14,0.8386934765916939,0.8386934765916939,0.28045460447587217,0.6718114424130563,adv_emb_sdxl_vae_untg
Regen-Diffusion,15,0.9177786032091181,0.9177786032091181,0.27925186112378836,0.7742053005553504,regen_diffusion
Regen-VAE,16,0.9177786032091181,0.9177786032091181,0.27925186112378836,0.7742053005553504,regen_vae
Regen-2xDiffusion,17,0.9140183598884232,0.9140183598884232,0.20249800041036697,0.7388289432688955,2x_regen
Regen-Diffusion&P,18,0.903772814948893,0.903772814948893,0.19997998186432325,0.6852788018339608,regen_diffusion_prompt
Regen-4xDiffusion,19,0.9045329451256862,0.9045329451256862,0.1754406098719556,0.7047704636326274,4x_regen
Regen-4xVAE,20,0.9045329451256862,0.9045329451256862,0.1754406098719556,0.7047704636326274,4x_regen_bmshj
AdvCls-Real-WM,21,0.7725236197088362,0.7725236197088362,0.1429984585402462,0.592341603657441,adv_cls_real_wm_0.01_50_warm
AdvCls-UnWM-WM,22,0.7725236197088362,0.7725236197088362,0.1429984585402462,0.592341603657441,adv_cls_unwm_wm_0.01_50_warm_train3k
AdvCls-WM1-WM2,23,0.7725236197088362,0.7725236197088362,0.1429984585402462,0.592341603657441,adv_cls_wm1_wm2_0.01_50_warm
Dist-Noise,24,-inf,-inf,1.780191764663902e-12,0.3611413108201399,distortion_single_noise
Dist-Com-All,25,-inf,-inf,2.574208717525617e-13,0.1862521170748978,distortion_combo_all
Dist-Com-Deg,26,-inf,-inf,1.1830049710410906e-13,0.32454708686909467,distortion_combo_degradation
